month,s-259,s-151,s-238,s-325,s-242,s-209,s-3,s-231,s-189,s-266,s-33,s-145,s-324,s-328,s-349,s-53,s-25,s-52,s-11,s-14,s-92,s-170,s-257,s-340,s-8,s-339,s-198,s-165,s-317,s-148,s-31,s-297,s-128,s-196,s-329,s-294,s-46,s-187,s-135,s-214,s-260,s-344,s-237,s-222,s-9,s-203,s-223,s-115,s-347,s-308,s-65,s-248,s-261,s-247,s-283,s-273,s-192,s-201,s-138,s-345,s-250,s-37,s-251,s-47,s-221,s-90,s-117,s-162,s-183,s-112,s-126,s-289,s-10,s-51,s-334,s-202,s-32,s-28,s-333,s-205,s-61,s-6,s-131,s-252,s-93,s-270,s-71,s-140,s-66,s-26,s-341,s-233,s-282,s-79,s-230,s-234,s-36,s-49,s-59,s-336
Jan 2000,15.0276832580566,10.7461957931519,13.5143756866455,6.19181776046753,6.5625,30.645378112793,2.11744022369385,13.602014541626,26.1676445007324,8.88376808166504,6.11824607849121,5.13768243789673,2.74142527580261,5.26381206512451,3.8132905960083,344.941589355469,0.930546939373016,28.7239322662354,249.125,5.33029794692993,3.22499990463257,8.04023170471191,22.707633972168,15.8324565887451,6.61511087417603,5.10080623626709,6.871741771698,3.12368440628052,9.69735336303711,2.28822660446167,25.1042938232422,13.261155128479,5.09291553497315,6.24085235595703,10.0108251571655,14.2044630050659,17.374324798584,22.5197353363037,13.0672369003296,16.9351577758789,3.72001218795776,36.9375,35.2703247070313,6.38176250457764,39.9542999267578,9.84460639953613,23.4375,13.0906267166138,3.81680297851563,9.25,0.78125,2.37835264205933,26.2249240875244,20.2216892242432,14.3354759216309,9.80788040161133,8.63329219818115,33.5112571716309,32.4269218444824,4.40995645523071,19.0306987762451,7.38847494125366,14.5462884902954,12.4791860580444,30.1142845153809,0.708333015441895,19.9663982391357,1.71875,2.52704524993897,8.8392505645752,19.286657333374,3.95148634910584,15.342303276062,24.2957458496094,20.5,12.9272537231445,1.54521012306213,17.6702709197998,17.3157081604004,7.98243856430054,8.00161075592041,18,8.22453117370606,7.04557228088379,32.8647079467773,6.19349479675293,16.6112098693848,7.43594741821289,27.6620426177979,29.1276168823242,11.782543182373,4.32679224014282,0.650614678859711,24.4801940917969,37.9663810729981,2.60410952568054,6.87329244613648,42.0625,6.36090612411499,29.4425964355469
Feb 2000,13.5782947540283,10.050196647644,12.2941093444824,5.84569072723389,7,25.9947452545166,1.84940910339355,14.7702836990356,25.8230667114258,8.63903999328613,5.26148080825806,4.05121994018555,2.84823369979858,5.07759475708008,3.61259055137634,332.675323486328,1.09592032432556,23.9241600036621,261.25,5.0285849571228,3.63750004768372,7.78387546539307,18.3021068572998,14.6456756591797,5.57882690429688,4.35919618606567,8.29795455932617,2.56622767448425,7.92792892456055,3.26522302627564,33.4609527587891,12.1395711898804,4.91386842727661,5.36533498764038,8.70872211456299,11.6391305923462,20.5672302246094,18.9079265594482,13.9480895996094,16.0068817138672,3.22868990898132,49.03125,33.0065765380859,6.5800666809082,62.704475402832,9.27920246124268,22.1875,10.5097064971924,3.68366098403931,8.6875,0.8125,2.48881030082703,22.8028793334961,30.0573863983154,11.6392364501953,9.47346591949463,7.0767936706543,29.9091091156006,28.6360836029053,4.02771854400635,16.0166893005371,10.8031911849976,16.5270557403564,14.2759275436401,27.4990005493164,0.876302003860474,24.4237308502197,1.71875,2.31101441383362,7.9664101600647,16.3630046844482,3.83174514770508,13.3355150222778,19.8851280212402,36.3125,10.7066202163696,1.61124420166016,14.4952297210693,13.6813354492188,8.55261325836182,8.29152584075928,19.75,7.36489009857178,7.22959852218628,33.3264045715332,6.25041961669922,14.9613485336304,6.1475944519043,17.7497386932373,48.9873428344727,10.4913053512573,2.70424365997314,0.681645452976227,20.7312660217285,71.3938217163086,1.83350491523743,6.84377098083496,46.9583320617676,7.97311878204346,27.9725036621094
Mar 2000,14.3861150741577,10.7660541534424,14.3629093170166,6.05328321456909,7.09375,34.7817039489746,1.92981839179993,14.999716758728,28.27565574646,8.31005001068115,5.39220428466797,3.55402207374573,2.86603379249573,5.92498111724854,5.97080993652344,475.781494140625,1.40181839466095,24.4908981323242,160.8125,5.44204425811768,3.6875,8.43406677246094,21.3179779052734,14.6102113723755,6.95207500457764,4.87541961669922,8.81657314300537,2.52778244018555,9.15656280517578,3.4337682723999,34.4783782958984,14.0549926757813,5.2059588432312,6.3081955909729,10.9769067764282,13.9736270904541,17.5122375488281,18.4483585357666,11.1084690093994,17.3493919372559,3.40577220916748,47.625,39.5642280578613,6.56203985214233,62.7799339294434,10.9436893463135,22.375,13.6961317062378,3.31381511688232,18.5,1.65625,2.88976335525513,14.7261772155762,31.6007347106934,14.4956531524658,11.7517499923706,7.93854331970215,31.5130596160889,31.8121852874756,4.54007530212402,18.2535057067871,10.9996118545532,17.2904720306397,22.4755992889404,32.6911087036133,0.729166984558106,17.3866424560547,1.984375,2.75061058998108,10.2105264663696,18.9093246459961,3.61640810966492,14.8211431503296,24.8564033508301,23.40625,13.2677450180054,1.73010659217834,22.1944713592529,17.0885601043701,10.4420166015625,8.5479040145874,29.5,7.75508117675781,7.79482460021973,35.2991256713867,7.24092674255371,18.5170211791992,6.85373783111572,15.2855672836304,50.155574798584,12.1744480133057,3.77497506141663,0.626376450061798,16.9182567596436,62.5996398925781,2.39152956008911,6.54404497146606,32.75,5.83291006088257,32.0372581481934
Apr 2000,14.9533081054688,11.837025642395,19.2296848297119,6.51743316650391,6.75,38.8090553283691,2.21846961975098,15.6682233810425,23.5127620697022,8.85415935516357,5.19612216949463,2.835853099823,2.92518520355225,6.62678909301758,5.51923608779907,376.164733886719,1.74798882007599,25.7053203582764,98.875,5.45266628265381,2.39843797683716,6.87918329238892,20.8385143280029,15.9577560424805,7.44797277450562,5.1908860206604,12.3172750473022,2.35778951644897,9.71267700195312,2.85385608673096,37.2448921203613,15.7202739715576,5.18538188934326,6.66738748550415,12.2650156021118,14.1070222854614,17.0546741485596,21.6653251647949,12.0907278060913,13.9931116104126,3.88359808921814,47.375,37.5512390136719,7.05351495742798,53.4987640380859,13.3198366165161,24.8125,14.5827617645264,3.91054654121399,17.5,1.28125,2.74888706207275,15.5768938064575,32.3597526550293,13.4849815368652,11.5657691955566,7.72963762283325,38.8095016479492,30.8900928497314,4.86741876602173,20.5455474853516,9.28975677490234,17.4031963348389,21.103551864624,21.4607601165772,0.71875,14.7763576507568,1.953125,3.31580471992493,11.7393045425415,16.6902484893799,4.00773477554321,16.1892433166504,24.6371040344238,26.125,14.1642160415649,1.6261020898819,18.7822208404541,16.8768882751465,8.85956287384033,8.9624719619751,43.75,8.34037017822266,8.0782527923584,36.3064765930176,10.5995273590088,17.0521850585938,8.45294189453125,15.3240671157837,47.8580513000488,11.9320402145386,4.13818311691284,0.605322122573853,18.9424877166748,55.9330558776856,2.66133260726929,6.34422922134399,21.3333320617676,7.82940626144409,30.6386470794678
May 2000,13.7294797897339,10.7660541534424,20.8984260559082,6.57545137405396,6.8125,35.9294090270996,2.26567220687866,15.417534828186,24.3481407165527,8.8294267654419,6.27229309082031,2.70695090293884,3.14457368850708,7.40933275222778,3.76311492919922,226.739608764648,1.25443935394287,25.3932952880859,66.75,5.03235483169556,2.09375,7.30324459075928,23.9732456207275,16.11887550354,7.9004077911377,5.08755922317505,14.9103841781616,2.67667078971863,9.46322441101074,3.00526142120361,30.5458507537842,14.3214387893677,5.14422798156738,7.13881635665894,11.9009876251221,13.8245887756348,19.4256992340088,23.5888957977295,12.0428380966187,13.6309471130371,3.84293150901794,47.25,38.5394248962402,6.92426061630249,44.4439544677734,13.2801427841187,23.8125,14.2794408798218,3.94121670722961,15.8125,1.34375,2.43657994270325,17.3366222381592,29.0959606170654,15.0903282165527,11.2743663787842,8.8927526473999,38.4356689453125,29.0971336364746,4.90042543411255,18.4882774353027,9.00229167938232,17.3618698120117,16.7260322570801,19.2493057250977,0.739583015441895,15.6006574630737,1.453125,3.2153263092041,10.2245540618896,16.9263248443604,4.08870029449463,18.0459499359131,28.162036895752,36.9375,13.3872756958008,1.58483123779297,24.3778495788574,14.8727502822876,8.33380889892578,8.86376190185547,40.875,7.92753267288208,8.28945255279541,21.4480991363525,12.2275953292847,18.6474418640137,8.47592067718506,16.7787532806397,47.9748916625977,12.4168558120728,4.08459520339966,0.501824915409088,20.4243831634522,48.840950012207,2.59839630126953,7.44797039031982,21.2708320617676,7.0366792678833,32.8380432128906
Jun 2000,12.275164604187,9.12405872344971,18.0687694549561,5.78108739852905,6.9375,29.7002563476563,2.25724267959595,14.4749212265015,22.5245819091797,9.37066841125488,5.15576124191284,2.72536540031433,3.22227311134338,8.52104663848877,4.01399040222168,225.903305053711,1.81225287914276,27.1809844970703,118.734375,4.72848463058472,2.50624990463257,6.02422332763672,22.3909530639648,18.2846183776855,7.02151966094971,4.76465082168579,15.9962491989136,2.60178232192993,8.35983085632324,2.46534252166748,33.1522979736328,12.76060962677,5.20058584213257,7.92453575134277,14.673210144043,14.3207302093506,19.1536846160889,26.8504676818848,12.57887840271,17.3626155853272,3.60946488380432,62.4296875,38.1747970581055,7.09506273269653,44.5194244384766,13.3473920822144,21.734375,14.6298122406006,3.99105572700501,18.875,1.6875,2.30929589271545,14.7947874069214,34.0296134948731,10.9699230194092,10.9828939437866,7.46355772018433,50.4270820617676,31.1462421417236,4.59596252441406,15.1897659301758,8.39709281921387,20.8342456817627,16.5300235748291,24.6144828796387,0.666666984558106,17.814058303833,1.6875,3.10228586196899,10.8152351379395,18.6872825622559,3.71940398216248,16.1511516571045,27.8995494842529,52.6875,11.9784231185913,1.57822716236115,21.5583438873291,14.2926044464111,7.34941053390503,9.45931529998779,38.625,9.28339958190918,7.50076246261597,22.1616401672363,13.6165809631348,17.1092433929443,7.88556003570557,12.06214427948,47.3518257141113,12.4304161071777,3.79868054389954,0.628601551055908,23.0982322692871,60.8975105285645,2.68156313896179,7.12386846542358,39.1041679382324,7.76495456695557,29.9844760894775
Jul 2000,11.2709884643555,9.15256690979004,19.3813133239746,6.71383714675903,7.21875,30.9736194610596,1.7535799741745,11.8393154144287,24.5287303924561,10.2384376525879,4.92588663101196,2.65170645713806,3.44334387779236,8.12977313995361,3.31154179573059,140.50422668457,1.43780636787415,31.7314701080322,78.859375,4.87375259399414,3.66875004768372,6.57425928115845,24.5171737670898,17.7165508270264,7.93861865997315,4.62113761901856,20.3818492889404,2.51615524291992,8.15213012695313,2.34250402450562,27.7564811706543,14.0702486038208,5.3054347038269,7.4306526184082,15.0932502746582,16.2464237213135,16.8585796356201,24.5278301239014,14.2405738830566,20.2131977081299,4.44242000579834,59.3125,43.9321784973145,7.17051315307617,24.5988616943359,15.129280090332,26.6875,13.4126129150391,4.56287956237793,19.75,1.65625,2.59295797348022,14.9497842788696,30.4368953704834,11.8560209274292,10.8896179199219,7.4370903968811,52.4466857910156,32.4781379699707,4.61046075820923,15.7718563079834,5.24368476867676,22.7249546051025,19.0127868652344,21.4799880981445,0.552083015441895,21.5997352600098,1.875,2.97668814659119,10.6170530319214,16.6371784210205,4.10228490829468,17.4943466186523,28.180606842041,48.96875,12.6583347320557,1.63765835762024,25.1379470825195,13.2617483139038,7.5450963973999,10.0577507019043,36,9.82085800170898,6.5014386177063,21.8678245544434,18.3869342803955,15.9335384368897,8.60242652893066,11.5208959579468,41.5107536315918,11.9181060791016,4.17437744140625,0.639166057109833,21.4018402099609,65.2000579833984,2.83407187461853,8.38849925994873,40.9375,10.0027751922607,30.0722560882568
Aug 2000,11.3308067321777,9.38066959381104,21.3418045043945,6.18188238143921,7.625,29.4707164764404,1.71279954910278,12.4250030517578,27.5140419006348,9.7390022277832,4.89541387557983,2.89570140838623,3.23749208450317,9.3920955657959,4.71643733978272,161.691360473633,1.75484311580658,34.9709167480469,75.5625,5.41785383224487,2.76250004768372,7.07191133499146,28.4101295471191,18.7041091918945,8.26820755004883,4.76903581619263,24.5437889099121,2.39957571029663,9.50570106506348,2.23109292984009,31.5747165679932,14.5053043365479,6.71043062210083,8.15463733673096,15.8493041992188,16.7190837860107,20.040433883667,24.3156681060791,13.1381721496582,20.7421417236328,5.51446008682251,79.5625,49.4695320129395,7.32187032699585,36.8228454589844,15.3249244689941,23.75,14.5829992294312,4.57872104644775,20.125,2.34375,2.48699522018433,16.2160968780518,36.8127174377441,13.8946113586426,11.6841192245483,8.67833995819092,36.9904441833496,33.0723724365234,5.02242040634155,15.5086126327515,6.81982278823853,22.166145324707,16.3666858673096,21.4799880981445,0.705729007720947,26.3623638153076,2.109375,2.71293139457703,9.7676887512207,15.4791879653931,4.26979398727417,19.0423069000244,31.576208114624,85,14.163143157959,1.60464131832123,25.9780750274658,12.3442392349243,8.02925491333008,9.63532733917236,37.5,9.57656192779541,6.89948558807373,23.1270084381104,22.5424976348877,17.1831207275391,8.47291088104248,12.4046421051025,62.3050422668457,10.2732992172241,3.77631950378418,0.636048972606659,18.7468414306641,88.509407043457,3.49019145965576,8.54946994781494,46.5416679382324,9.28461265563965,31.2785110473633
Sep 2000,11.0992107391357,8.81245708465576,24.9194755554199,6.08464765548706,7.3125,28.2034702301025,1.36616170406342,11.3974304199219,22.7437038421631,9.88359069824219,4.78277635574341,2.59646320343018,3.25620603561401,9.8128662109375,4.71643733978272,70.6238174438477,1.56119394302368,42.0506477355957,52.515625,5.44390106201172,3.70000004768372,6.22176885604858,31.3241901397705,21.5741500854492,9.89219284057617,4.62539100646973,24.8419971466064,2.59387493133545,7.07795190811157,2.01112580299377,21.6976108551025,12.4984474182129,7.3711199760437,8.10412693023682,19.1815891265869,12.7787036895752,17.7088394165039,24.8404121398926,12.208667755127,25.4048976898193,6.92429351806641,89,52.2312393188477,7.24618864059448,29.5412769317627,17.7850093841553,21.8125,13.5504102706909,4.49950551986694,29.125,2.28125,2.17200303077698,17.5725688934326,31.8790321350098,14.243311882019,12.9823446273804,10.873085975647,41.0987205505371,36.3427238464356,4.71590375900269,15.0352792739868,6.15299320220947,26.077808380127,16.6280269622803,18.557014465332,0.578125,24.1184329986572,1.859375,2.56221294403076,8.45272922515869,13.8648681640625,4.61422872543335,18.9779510498047,34.0123863220215,84.5,12.000584602356,1.66407239437103,27.4073486328125,13.7404537200928,8.03765201568604,10.1661081314087,24,8.80701446533203,5.67880821228027,23.4627933502197,20.9058780670166,17.3324241638184,9.22131156921387,15.3090963363647,51.5574493408203,10.3927030563354,3.82848334312439,0.628098130226135,20.4952640533447,96.3580551147461,3.55625867843628,8.49796485900879,58.453125,8.85313987731934,28.3568363189697
Oct 2000,12.4800577163696,9.85261726379395,23.0342426300049,7.32502126693726,9,28.2918834686279,1.55094921588898,9.09279918670654,22.5595932006836,9.29006004333496,6.09977388381958,2.33865737915039,3.22780656814575,10.8686771392822,4.81678867340088,34.1967964172363,1.76169919967651,44.2102165222168,51,5.7110447883606,3.125,6.08939552307129,32.4754295349121,25.9458541870117,11.18372631073,4.6541223526001,27.9796600341797,2.62731575965881,7.87308597564697,1.78544557094574,19.4341125488281,14.4290914535522,7.28064441680908,8.10412693023682,18.7895526885986,13.8633642196655,22.4395732879639,24.36110496521,11.7260389328003,23.3267917633057,6.82844877243042,72.5625,50.1742973327637,6.83690738677979,27.9566955566406,19.3620586395264,21.8125,14.7246236801147,4.6375904083252,25.0625,1.84375,2.46501874923706,18.8262977600098,26.7176761627197,15.0551242828369,13.0642213821411,10.6046209335327,45.2782745361328,38.4082183837891,4.44631958007813,18.4321384429932,5.36346530914307,28.2051124572754,13.116213798523,21.1915378570557,0.627604007720947,24.4237308502197,1.65625,2.62501239776611,9.81145286560059,17.579517364502,4.58307552337647,19.6698570251465,34.7733726501465,93.109375,11.9604530334473,1.63765835762024,29.0874156951904,16.5286159515381,8.1899881362915,9.38724899291992,22.625,10.1384506225586,6.37060308456421,24.596061706543,17.5330543518066,16.697078704834,8.85245513916016,15.4256553649902,40.4982948303223,9.79883480072021,3.8165385723114,0.765908598899841,23.2326717376709,90.0224533081055,3.6773681640625,9.5280179977417,65.375,8.59051895141602,29.6357555389404
